ME Entity Name,DBA,Loc City,,
NLVG LLC ,Desert Blum Cultivation Center,North Las Vegas,,
"NNV Operations I, Inc.",Silver State Trading,Sparks,,
NV 3480 Partners LLC,Evergreen Organix,Las Vegas,,
Nye Farm Tech LTD,Nye Farm Tech LTD,Pahrump,,
Nye Natural Medicinal Solutions LLC,Nye Natural Medicinal Solutions LLC,Pahrump,,
PhenofarmNV LLC,PhenoFarm NV LLC,North Las Vegas,,
Physis One LLC ,Physis One LLC,North Las Vegas,,
Polaris Wellness Center LLC ,POLARIS MMJ,Las Vegas,,
"Qualcan, LLC",QualCan LLC,Las Vegas,,
Redwood Warehouse LLC,Redwood Warehouse LLC,Las Vegas,,
Rombough Real Estate Inc,Mother Herb,Las Vegas,,
"Serenity Wellness Growers, LLC",Serenity Wellness Growers LLC,North Las Vegas,,
Silver Sage Wellness LLC ,Silver Sage Wellness,Las Vegas,,
"Silver State Cultivation, LLC",Silver State Cultivation,Sparks,,
Silver State Wellness LLC,Silver State Wellness LLC,Las Vegas,,
Southern Nevada Growers Inc.,Southern Nevada Growers Inc,Las Vegas,,
Sweet Goldy LLC,W Vapes,Las Vegas,,
Tahoe Hydroponics Company LLC.,Tahoe Hydroponics Company LLC,Carson City,,
"Tahoe-Reno Botanicals, LLC",Kynd Cannabis Company,Sparks,,
"TGIG, LLC",The Grove,Las Vegas,,
THC Nevada LLC,FloraVega & Welleaf,North Las Vegas,,
The Clinic Nevada LLC ,The Clinic,Las Vegas,,
The Harvest Foundation LLC ,The Harvest Foundation LLC,Las Vegas,,
TRNVC151 LLC,TapRoot Farms,North Las Vegas,,
"Tryke Companies SO NV, LLC",Reef Dispensaries,Las Vegas,,
"V6E Holdings, Inc",Cannera,North Las Vegas,,
Vegas Valley Growers LLC ,Vegas Valley Growers LLC,Las Vegas,,
Vegas Valley Growers North LLC,Vegas Valley Growers North,North Las Vegas,,
Waveseer of Las Vegas LLC,Waveseer of Las Vegas,North Las Vegas,,
Wellness & Caregivers of Nevada II LLC,Las Vegas Cannabis,Las Vegas,,
Wellness & Caregivers of Nevada NLV LLC,Las Vegas Cannabis,North Las Vegas,,
WELLNESS ORCHARDS OF NEVADA LLC,Wellness Orchards of Nevada LLC,Pahrump,,
Wenger LLC,Las Vegas Herbal Growers,Las Vegas,,
"WSCC, Inc.",Sierra Wellness,Carson City,,
YMY Ventures LLC ,YMY Ventures,North Las Vegas,,
Zion Gardens LLC ,Zion Gardens,North Las Vegas,,
